"State","ID","Work Item Type","Title","Priority","Iteration Path"
"New","9","User Story","As an Admin, I can manage pet treatments","1","PAWStrack\MVP\Sprint 2"
"New","41","Task","Implement functionality to update a pet's treatment","2","PAWStrack\MVP\Sprint 2"
"New","42","Task","Implement functionality to archive / delete a treatment. ","2","PAWStrack\MVP\Sprint 2"
"New","40","Task","Implement functionality to add a pet to treatments","2","PAWStrack\MVP"
"New","6","User Story","As an Admin, I can manage inventory stocks","1","PAWStrack"
"New","38","Task","Implement functionality to update an inventory item","2","PAWStrack\MVP"
"New","39","Task","Implement functionality to delete an inventory item","2","PAWStrack\MVP"
"New","37","Task","Implement functionality to add an inventory item","2","PAWStrack\MVP"
"New","11","User Story","As an Admin, I can manage donations and sponsorships","3","PAWStrack"
"New","55","Task","Set up database scheme for donations and sponsorships","2","PAWStrack"
"New","73","Task","Implement sponsorship update functionality","2","PAWStrack"
"New","75","Task","Implement sponsorship deletion functionality","2","PAWStrack"
"New","59","Task","Implement sponsorship creation endpoint","2","PAWStrack"
"New","71","Task","Implement donation update functionality","2","PAWStrack"
"New","74","Task","Implement donation deletion functionality","2","PAWStrack"
"New","57","Task","Implement donation creation endpoint","2","PAWStrack"
"New","65","Task","Develop UI for managing sponsorships","2","PAWStrack"
"New","62","Task","Develop UI for managing donations","2","PAWStrack"
"New","77","Task","Add validation for sponsorship inputs","2","PAWStrack"
"New","76","Task","Add validation for donation inputs","2","PAWStrack"
"New","13","User Story","As an Admin, I can manage detailed pet records ","1","PAWStrack\MVP\Sprint 2"
"New","35","Task","Implement functionality to edit a pet's details","2","PAWStrack\MVP\Sprint 2"
"New","36","Task","Implement functionality to delete a pet","2","PAWStrack\MVP\Sprint 2"
"New","34","Task","Implement functionality to add a new pet.","2","PAWStrack\MVP\Sprint 2"
"New","5","User Story","As an Admin, I can manage adoption status and history","3","PAWStrack\MVP\Sprint 2"
"New","29","Task","Implement functionality to update the adoption status of pets and adoption history","2","PAWStrack\MVP\Sprint 2"
"New","12","User Story","As an Admin, I can make daily updates on pets","3","PAWStrack\MVP\Sprint 2"
"New","28","Task","Test the functionality thoroughly with different data","2","PAWStrack\MVP\Sprint 2"
"New","27","Task","Implement functionality to add, update, and delete daily updates about pets.","2","PAWStrack\MVP\Sprint 2"
"New","7","User Story","As an Admin, I can maintain vets and staff information","1","PAWStrack\MVP"
"New","33","Task","Add a frame to upload vet / staff picture","2","PAWStrack\MVP"
"New","25","Task","Add a button to add a new vet / staff","2","PAWStrack\MVP"
"New","26","Task","Add a box to add the vet / staff name","2","PAWStrack\MVP"
"New","32","Task","Add a box to add a vet / staff description","2","PAWStrack\MVP"
"New","4","User Story","As an Admin, I can login to dashboard securely","1","PAWStrack\MVP\Sprint 1"
"New","24","Task","Add username box","2","PAWStrack\MVP\Sprint 1"
"New","30","Task","Add password box","2","PAWStrack\MVP\Sprint 1"
"New","31","Task","Add login button","2","PAWStrack\MVP\Sprint 1"
"New","10","User Story","As a User, I can view adoption candidates","2","PAWStrack\MVP\Sprint 2"
"New","43","Task","Implement functionality to display pets available for adoption","2","PAWStrack"
"New","8","User Story","As a User, I can understand Shelter operations","1","PAWStrack\MVP\Sprint 2"
"New","44","Task","Add an About Page / Menu and display Shelter's Information","2","PAWStrack\MVP\Sprint 2"
"New","15","User Story","As a User, I can register and track my pet","1","PAWStrack\MVP"
"New","53","Task","Pet Tracking Interface","2","PAWStrack"
"New","49","Task","Pet Registration Form Inteface","2","PAWStrack"
"New","54","Task","Data Validation","2","PAWStrack"
"New","18","User Story","As a User, I can make donations","2","PAWStrack"
"New","84","Task","Store donation history","2","PAWStrack"
"New","88","Task","Send donation confirmation emails","2","PAWStrack"
"New","85","Task","Provide option for general or specific donations","2","PAWStrack"
"New","78","Task","Integrate secure payment processing system","2","PAWStrack"
"New","86","Task","Implement validation for donation inputs","2","PAWStrack"
"New","83","Task","Implement user authentication","2","PAWStrack"
"New","81","Task","Implement recurring donation functionality","2","PAWStrack"
"New","80","Task","Implement one-time donation functionality","2","PAWStrack"
"New","87","Task","Handle payment errors","2","PAWStrack"
"New","79","Task","Design donation UI","2","PAWStrack"
"New","82","Task","Create donation form","2","PAWStrack"
"New","89","Task","Add option to manage recurring donations","2","PAWStrack"
"New","14","User Story","As a User, I can make adoption requests","3","PAWStrack"
"New","95","Task","Store adoption request history","2","PAWStrack"
"New","99","Task","Send confirmation emails","2","PAWStrack"
"New","100","Task","Provide status updates","2","PAWStrack"
"New","93","Task","Integrate pet listing","2","PAWStrack"
"New","97","Task","Implement validation for adoption request inputs","2","PAWStrack"
"New","94","Task","Implement authentication","2","PAWStrack"
"New","91","Task","Implement adoption request endpoint","2","PAWStrack"
"New","98","Task","Handle adoption request submission","2","PAWStrack"
"New","90","Task","Design adoption request form","2","PAWStrack"
"New","92","Task","Create adoption request UI","2","PAWStrack"
"New","96","Task","Add option for additional preferences","2","PAWStrack"
"New","21","User Story","As a User, I can login to my account and manage it","2","PAWStrack\MVP\Sprint 1"
"New","66","Task","Implement secure login functionality - authorization and verification","2","PAWStrack\MVP\Sprint 1"
"New","72","Task","Add functionality for user to manage their account details","2","PAWStrack\MVP\Sprint 1"
"New","70","Task","Add forget password link","2","PAWStrack\MVP\Sprint 1"
"New","67","Task","Add box for user to enter their username","2","PAWStrack\MVP\Sprint 1"
"New","69","Task","Add box for user to enter their password","2","PAWStrack\MVP\Sprint 1"
"New","17","User Story","As a User, I can leave my feedback","2","PAWStrack\MVP\Sprint 2"
"New","52","Task","User can leave a feedback / review","2","PAWStrack\MVP\Sprint 2"
"New","51","Task","User can add their rating (optional)","2","PAWStrack"
"New","50","Task","Implement functionality for a user to leave a review, rating or feedback","2","PAWStrack"
"New","16","User Story","As a User, I can create my account","1","PAWStrack\MVP\Sprint 1"
"New","56","Task","Implement functionality to create account","2","PAWStrack\MVP\Sprint 1"
"New","58","Task","Implement authorization and verification","2","PAWStrack\MVP\Sprint 1"
"New","64","Task","Add create account button","2","PAWStrack\MVP\Sprint 1"
"New","61","Task","Add box to take user's email id","2","PAWStrack\MVP\Sprint 1"
"New","60","Task","Add box to take the username","2","PAWStrack\MVP\Sprint 1"
"New","63","Task","Add box for user to set their password","2","PAWStrack\MVP\Sprint 1"
"New","19","User Story","As a User, I can access customer support","2","PAWStrack\MVP\Sprint 2"
"New","45","Task","Implement a Contact Menu / Functionality","2","PAWStrack\MVP\Sprint 2"
"New","46","Task","Add Email, Phone, and Address in contact.","2","PAWStrack\MVP\Sprint 2"
"New","47","Task","Add a user message box for channels for inquiries or assistance","2","PAWStrack\MVP\Sprint 2"
